file,class,type,wmc,lcom,lcom*,loc
C:\Users\holgu\Downloads\CPSC60000\ghidra_11.0.3_PUBLIC_20240410\ghidra_11.0.3_PUBLIC\Ghidra\Debug\Debugger-swig-lldb\src\main\java\SWIG\SBTypeNameSpecifier.java,SWIG.SBTypeNameSpecifier,class,21,43,0.6388889,65
C:\Users\holgu\Downloads\CPSC60000\ghidra_11.0.3_PUBLIC_20240410\ghidra_11.0.3_PUBLIC\Ghidra\Features\Base\ghidra_scripts\BuildGhidraJarScript.java,BuildGhidraJarScript,class,3,0,0,21
C:\Users\holgu\Downloads\CPSC60000\ghidra_11.0.3_PUBLIC_20240410\ghidra_11.0.3_PUBLIC\Ghidra\Features\Decompiler\ghidra_scripts\GraphSelectedASTScript.java,GraphSelectedASTScript,class,1,0,0,5
C:\Users\holgu\Downloads\CPSC60000\ghidra_11.0.3_PUBLIC_20240410\ghidra_11.0.3_PUBLIC\Ghidra\Features\Base\ghidra_scripts\VersionControl_VersionSummary.java,VersionControl_VersionSummary,class,8,1,0,38
C:\Users\holgu\Downloads\CPSC60000\ghidra_11.0.3_PUBLIC_20240410\ghidra_11.0.3_PUBLIC\Ghidra\Debug\Debugger-rmi-trace\ghidra_scripts\ListenTraceRmiScript.java,ListenTraceRmiScript,class,4,1,0,20
C:\Users\holgu\Downloads\CPSC60000\ghidra_11.0.3_PUBLIC_20240410\ghidra_11.0.3_PUBLIC\Ghidra\Features\Base\ghidra_scripts\ClearOrphanFunctions.java,ClearOrphanFunctions,class,3,0,0,13
C:\Users\holgu\Downloads\CPSC60000\ghidra_11.0.3_PUBLIC_20240410\ghidra_11.0.3_PUBLIC\Ghidra\Features\VersionTracking\ghidra_scripts\OpenVersionTrackingSessionScript.java,OpenVersionTrackingSessionScript,class,6,1,0,31
C:\Users\holgu\Downloads\CPSC60000\ghidra_11.0.3_PUBLIC_20240410\ghidra_11.0.3_PUBLIC\Ghidra\Debug\Debugger-agent-dbgmodel-traceloader\ghidra_scripts\PopulateMemviewLocal.java,PopulateMemviewLocal,class,31,0,0.81111115,164
C:\Users\holgu\Downloads\CPSC60000\ghidra_11.0.3_PUBLIC_20240410\ghidra_11.0.3_PUBLIC\Ghidra\Features\Base\ghidra_scripts\CallAnotherScriptForAllPrograms.java,CallAnotherScriptForAllPrograms,class,13,6,0.75,64
C:\Users\holgu\Downloads\CPSC60000\ghidra_11.0.3_PUBLIC_20240410\ghidra_11.0.3_PUBLIC\Ghidra\Debug\Debugger-swig-lldb\src\main\java\SWIG\SWIGTYPE_p_std__shared_ptrT_lldb_private__TraceCursor_t.java,SWIG.SWIGTYPE_p_std__shared_ptrT_lldb_private__TraceCursor_t,class,4,0,0,12
C:\Users\holgu\Downloads\CPSC60000\ghidra_11.0.3_PUBLIC_20240410\ghidra_11.0.3_PUBLIC\Ghidra\Features\Base\ghidra_scripts\RenameProgramsInProjectScript.java,RenameProgramsInProjectScript,class,8,3,0,35
C:\Users\holgu\Downloads\CPSC60000\ghidra_11.0.3_PUBLIC_20240410\ghidra_11.0.3_PUBLIC\Ghidra\Features\Base\ghidra_scripts\NameStringPointersPlus.java,NameStringPointersPlus,class,23,6,0,95
